Position,Team,Total MP,Total W,Total D,Total L,Total F,Total A,Home MP,Home W,Home D,Home L,Home F,Home A,Away MP,Away W,Away D,Away L,Away F,Away A, Diff, Total Points
1,Bayern Munich,34,24,6,4,99,44,17,13,4,0,64,21,17,11,2,4,35,23,+55,78
2,RB Leipzig,34,19,8,7,60,32,17,11,4,2,29,13,17,8,4,5,31,19,+28,65
3,Borussia Dortmund,34,20,4,10,75,46,17,11,2,4,40,20,17,9,2,6,35,26,+29,64
4,Wolfsburg,34,17,10,7,61,37,17,10,4,3,32,16,17,7,6,4,29,21,+24,61
5,Eintracht Frankfurt,34,16,12,6,69,53,17,10,7,0,37,20,17,6,5,6,32,33,+16,60
6,Bayer Leverkusen,34,14,10,10,53,39,17,8,5,4,34,22,17,6,5,6,19,17,+14,52
7,Union Berlin,34,12,14,8,50,43,17,8,8,1,32,18,17,4,6,7,18,25,+7,50
8,Borussia Moenchengladbach,34,13,10,11,64,56,17,8,4,5,32,19,17,5,6,6,32,37,+8,49
9,Stuttgart,34,12,9,13,56,55,17,5,6,6,27,26,17,7,3,7,29,29,+1,45
10,Freiburg,34,12,9,13,52,52,17,7,6,4,33,23,17,5,3,9,19,29,+0,45
11,Hoffenheim,34,11,10,13,52,54,17,8,3,6,32,24,17,3,7,7,20,30,-2,43
12,Mainz,34,10,9,15,39,56,17,4,4,9,16,26,17,6,5,6,23,30,-17,39
13,Augsburg,34,10,6,18,36,54,17,6,4,7,21,25,17,4,2,11,15,29,-18,36
14,Hertha Berlin,34,8,11,15,41,52,17,5,5,7,21,26,17,3,6,8,20,26,-11,35
15,Arminia Bielefeld,34,9,8,17,26,52,17,6,2,9,13,23,17,3,6,8,13,29,-26,35
16,FC Cologne,34,8,9,17,34,60,17,3,5,9,20,31,17,5,4,8,14,29,-26,33
17,Werder Bremen,34,7,10,17,36,57,17,3,5,9,16,28,17,4,5,8,20,29,-21,31
18,Schalke 04,34,3,7,24,25,86,17,3,3,11,14,34,17,0,4,13,11,52,-61,16
